date,deces,gueris,decesEhpad,reanimation,casConfirmes,hospitalises,testsPositifs,testsRealises,casConfirmesEhpad,casPossiblesEhpad,nouvellesReanimations,stockNombreTotalDoses,stockNombreDosesPfizer,stockNombreDosesModerna,cumulPremieresInjections,nouvellesHospitalisations,stockEhpadNombreDosesPfizer,nouvellesPremieresInjections,prisesRendezVousSemaineRang1,prisesRendezVousSemaineRang2,totalPrisesRendezVousSemaine,livraisonsCumulNombreTotalDoses,livraisonsCumulNombreDosesPfizer,livraisonsCumulNombreDosesModerna,r0
2020-05-07,16386,55027,9601,2961,137779,23208,166,8596,34653,,99,,,,,728,,,,,,,,,
2020-05-08,16497,55782,9733,2868,138421,22724,15,448,34890,,89,,,,,510,,,,,,,,,
2020-05-09,16573,56038,9737,2812,138854,22614,33,1529,35046,,38,,,,,265,,,,,,,,,
2020-05-10,16642,56217,9738,2776,139063,22569,17,293,35236,,38,,,,,253,,,,,,,,,
2020-05-11,16820,56724,9823,2712,139519,22284,210,10365,35195,,82,,,,,523,,,,,,,,,
2020-05-12,17003,57785,9988,2542,140227,21595,177,10608,35437,,92,,,,,670,,,,,,,,,
2020-05-13,17101,58673,9973,2428,140734,21071,901,39839,35604,,69,,,,,543,,,,,,,,,
2020-05-14,17224,59605,10201,2299,141356,20463,1015,43174,35820,,52,,,,,542,,,,,,,,,
2020-05-15,17342,60448,10187,2203,141919,19861,1044,48380,36126,,64,,,,,438,,,,,,,,,
2020-05-16,17412,61066,10213,2132,142291,19432,292,16662,36175,,46,,,,,350,,,,,,,,,
2020-05-17,17466,61213,10642,2087,142411,19361,142,6650,36461,,24,,,,,152,,,,,,,,,
2020-05-18,17589,61728,10650,1998,142903,19015,1120,51893,36599,,38,,,,,375,,,,,,,,,
2020-05-19,17714,62563,10308,1894,143427,18468,1055,53354,36530,,69,,,,,506,,,,,,,,,
2020-05-20,17812,63354,10320,1794,143845,17941,1058,53672,36751,,43,,,,,432,,,,,,,,,
2020-05-21,17870,63858,10345,1745,144163,17583,193,9766,36853,,28,,,,,271,,,,,,,,,
2020-05-22,17944,64209,10345,1701,144556,17383,826,50906,36853,,36,,,,,263,,,,,,,,,
2020-05-23,17987,64547,10345,1665,144806,17178,266,19104,36853,,30,,,,,233,,,,,,,,,
2020-05-24,18022,64617,10345,1655,144921,17185,145,7235,36853,,24,,,,,121,,,,,,,,,
2020-05-25,18112,65199,10345,1609,145279,16798,708,51929,36853,,45,,,,,342,,,,,,,,,
2020-05-26,18260,65879,10335,1555,145555,16264,773,54110,37235,,37,,,,,318,,,,,,,,,
2020-05-27,18260,66584,10336,1501,145746,15680,729,46736,37235,,32,,,,,271,,,,,,,,,
2020-05-28,18326,67191,10336,1429,149071,15208,641,44702,37235,,36,,,,,253,,,,,,,,,
2020-05-29,18387,67803,10327,1361,149668,14695,595,49620,37273,,29,,,,,255,,,,,,,,,
2020-05-30,18444,68268,10327,1325,151496,14380,371,20329,37273,,29,,,,,227,,,,,,,,,
2020-05-31,18475,68355,10327,1319,151753,14322,188,8547,37273,,18,,,,,72,,,,,,,,,
2020-06-01,18506,68440,10327,1302,152091,14288,171,10045,37273,,9,,,,,89,,,,,,,,,0.82
2020-06-02,18590,68812,10350,1253,151325,14028,723,49097,37405,,33,,,,,229,,,,,,,,,0.82
2020-06-03,18671,69455,10350,1210,151677,13514,659,44966,37405,,26,,,,,250,,,,,,,,,0.82
2020-06-04,18715,69976,10350,1163,152444,13101,622,41584,37405,,23,,,,,195,,,,,,,,,0.83
2020-06-05,18761,70504,10350,1094,153055,12696,560,46753,37405,,19,,,,,213,,,,,,,,,0.84
2020-06-06,18792,70806,10350,1059,153634,12479,296,19721,37405,,15,,,,,143,,,,,,,,,0.86
2020-06-07,18805,70842,10350,1053,153977,12461,138,7587,37405,,4,,,,,37,,,,,,,,,0.88
2020-06-08,18859,71062,10350,1024,154188,12315,559,45367,37405,,23,,,,,145,,,,,,,,,0.89
2020-06-09,18912,71506,10384,955,154591,11961,574,43937,37599,,15,,,,,169,,,,,,,,,0.9
2020-06-10,18935,71832,10384,933,155136,11678,562,40701,37599,,23,,,,,130,,,,,,,,,0.9
2020-06-11,18962,72149,10384,903,155561,11465,624,38811,37599,,26,,,,,143,,,,,,,,,0.9
2020-06-12,18990,72572,10384,879,156287,11124,613,44570,37599,,18,,,,,136,,,,,,,,,0.89
2020-06-13,19014,72808,10384,871,156813,10909,217,19226,37599,,14,,,,,68,,,,,,,,,0.88
2020-06-14,19023,72859,10384,869,157220,10881,133,6667,37599,,6,,,,,33,,,,,,,,,0.88
2020-06-15,19052,73044,10384,846,157372,10752,500,43895,37599,,12,,,,,114,,,,,,,,,0.87
2020-06-16,19090,73335,10457,820,157716,10535,570,43055,37901,,14,,,,,143,,,,,,,,,0.87
2020-06-17,19118,73667,10457,772,158174,10267,747,40177,37901,,14,,,,,116,,,,,,,,,0.87
