date,deces,gueris,decesEhpad,reanimation,casConfirmes,hospitalises,testsPositifs,testsRealises,casConfirmesEhpad,casPossiblesEhpad,nouvellesReanimations,stockNombreTotalDoses,stockNombreDosesPfizer,stockNombreDosesModerna,cumulPremieresInjections,nouvellesHospitalisations,stockEhpadNombreDosesPfizer,nouvellesPremieresInjections,prisesRendezVousSemaineRang1,prisesRendezVousSemaineRang2,totalPrisesRendezVousSemaine,livraisonsCumulNombreTotalDoses,livraisonsCumulNombreDosesPfizer,livraisonsCumulNombreDosesModerna,r0
2020-10-27,24180,112716,11361,2918,1198695,18978,61525,376280,62297,,431,,,,,2988,,,,,,,,,1.41
2020-10-28,24424,113977,11361,3045,1235132,20207,56928,367972,62297,,372,,,,,2821,,,,,,,,,1.38
2020-10-29,24659,115287,11361,3156,1282769,21183,56175,377046,62297,,395,,,,,2607,,,,,,,,,1.34
2020-10-30,24914,116533,11651,3377,1331984,22176,58576,401738,68349,,422,,,,,2563,,,,,,,,,1.3
2020-10-31,25137,117658,11651,3452,1367625,23036,26280,172341,68349,,339,,,,,2274,,,,,,,,,1.25
2020-11-01,25368,118227,11651,3578,1413915,24031,6972,45700,68349,,289,,,,,1883,,,,,,,,,1.2
2020-11-02,25784,119104,11651,3730,1466433,25143,70100,436076,68349,,430,,,,,2547,,,,,,,,,1.16
2020-11-03,26210,120714,12079,3878,1502763,26265,59106,383146,73958,,469,,,,,3311,,,,,,,,,1.11
2020-11-04,26595,122662,12079,4089,1543321,27534,50125,354359,73958,,540,,,,,3681,,,,,,,,,1.06
2020-11-05,26958,124278,12079,4230,1601367,28426,46940,368557,73958,,447,,,,,2989,,,,,,,,,1.02
2020-11-06,27356,126329,12509,4331,1661853,28979,45014,376705,80369,,434,,,,,3140,,,,,,,,,0.98
2020-11-07,27660,127938,12509,4421,1748705,29421,17943,147212,80369,,394,,,,,2458,,,,,,,,,0.94
2020-11-08,27930,128614,12509,4539,1787324,30243,4379,34818,80369,,323,,,,,1814,,,,,,,,,0.89
2020-11-09,28478,129735,12509,4690,1807479,31125,47650,390580,80369,,484,,,,,2670,,,,,,,,,0.85
2020-11-10,28944,131920,13263,4750,1829659,31505,37425,350357,87932,,473,,,,,3169,,,,,,,,,0.8
2020-11-11,29272,133696,13263,4803,1865538,31946,5381,50678,87932,,351,,,,,2588,,,,,,,,,0.76
2020-11-12,29697,134954,13263,4899,1898710,32683,36531,360551,87932,,386,,,,,2366,,,,,,,,,0.72
2020-11-13,30153,137155,13739,4903,1922504,32707,28927,309437,94240,,471,,,,,2830,,,,,,,,,0.69
2020-11-14,30507,139140,13739,4871,1954599,32499,11003,115536,94240,,326,,,,,2194,,,,,,,,,0.66
2020-11-15,30809,139810,13739,4896,1981827,33081,2711,26585,94240,,270,,,,,2194,,,,,,,,,0.64
2020-11-16,31315,140880,13739,4919,1991233,33497,30359,312249,94240,,366,,,,,2064,,,,,,,,,0.63
2020-11-17,31743,143152,14530,4854,2036755,33170,21815,258576,101482,,382,,,,,2505,,,,,,,,,0.62
2020-11-18,32168,145391,14530,4775,2065138,32842,17370,215399,101482,,357,,,,,2428,,,,,,,,,0.62
2020-11-19,32597,147569,14530,4653,2086288,32345,16841,236984,101482,,311,,,,,2213,,,,,,,,,0.62
2020-11-20,32978,149521,15287,4582,2109170,31906,16262,246998,107460,,263,,,,,1962,,,,,,,,,0.62
2020-11-21,33231,151177,15287,4509,2127051,31197,7255,105532,107460,,219,,,,,1509,,,,,,,,,0.62
2020-11-22,33445,151681,15287,4509,2140208,31554,1832,24564,107460,,171,,,,,904,,,,,,,,,0.61
2020-11-23,33945,152592,15287,4454,2144660,31481,17759,257692,107460,,243,,,,,1377,,,,,,,,,0.61
2020-11-24,34399,154679,15838,4289,2153815,30622,13742,214347,112080,,269,,,,,1781,,,,,,,,,0.61
2020-11-25,34780,156552,15838,4148,2170097,29972,12636,194890,112080,,257,,,,,1674,,,,,,,,,0.62
2020-11-26,35119,158236,15838,4018,2183660,29310,12533,208216,112080,,192,,,,,1459,,,,,,,,,0.62
2020-11-27,35512,159915,16402,3883,2196119,28648,12463,220698,116240,,206,,,,,1468,,,,,,,,,0.63
2020-11-28,35725,161137,16402,3777,2208699,28168,6079,99512,116240,,122,,,,,973,,,,,,,,,0.64
2020-11-29,35923,161427,16402,3756,2218483,28313,1608,23774,116240,,102,,,,,650,,,,,,,,,0.66
2020-11-30,36329,162281,16402,3751,2222488,28258,15868,239369,116240,,196,,,,,1251,,,,,,,,,0.69
2020-12-01,36692,164029,16814,3605,2230571,27639,12401,199683,119716,,234,,,,,1572,,,,,,,,,0.72
2020-12-02,37002,165563,16814,3488,2244635,27013,11545,180924,119716,,160,,,,,1252,,,,,,,,,0.75
2020-12-03,37326,166940,16814,3425,2257331,26703,12043,200341,119716,,184,,,,,1448,,,,,,,,,0.78
2020-12-04,37608,168352,17159,3293,2268552,26311,12564,218844,123298,,163,,,,,1399,,,,,,,,,0.81
2020-12-05,37822,169358,17159,3230,2281475,26070,6583,105209,123298,,125,,,,,1017,,,,,,,,,0.84
2020-12-06,37996,169586,17159,3220,2292497,26293,1754,26391,123298,,101,,,,,625,,,,,,,,,0.87
2020-12-07,38362,170285,17159,3198,2295908,26365,16736,257388,123298,,202,,,,,1200,,,,,,,,,0.9
2020-12-08,38739,171868,17613,3088,2309621,25914,13252,225379,126828,,214,,,,,1587,,,,,,,,,0.92
2020-12-09,39035,173247,17613,3041,2324216,25558,12744,207106,126828,,170,,,,,1372,,,,,,,,,0.95
2020-12-10,39327,174658,17613,2959,2337966,25231,13564,226586,126828,,191,,,,,1440,,,,,,,,,0.98
2020-12-11,39631,175891,17936,2884,2351372,24975,14085,252494,129501,,180,,,,,1334,,,,,,,,,1.01
2020-12-12,39825,176743,17936,2861,2365319,24980,7847,133181,129501,,127,,,,,1096,,,,,,,,,1.04
2020-12-13,39975,176995,17936,2871,2376852,25239,2048,34378,129501,,89,,,,,668,,,,,,,,,1.07
2020-12-14,40346,177647,17936,2906,2379915,25481,19688,329819,129501,,209,,,,,1316,,,,,,,,,1.09
2020-12-15,40653,179087,18419,2881,2391447,25240,15940,314148,133545,,211,,,,,1560,,,,,,,,,1.12
2020-12-16,40942,180311,18419,2850,2409062,25315,15390,337095,133545,,219,,,,,1659,,,,,,,,,1.13
2020-12-17,41200,181506,18419,2808,2427316,25182,15872,399342,133545,,151,,,,,1362,,,,,,,,,1.15
2020-12-18,41455,182656,18774,2773,2442990,24977,17492,507411,137358,,176,,,,,1281,,,,,,,,,1.15
2020-12-19,41644,183571,18774,2727,2460555,24851,10681,336141,137358,,123,,,,,1003,,,,,,,,,1.15
2020-12-20,41775,183806,18774,2754,2473354,24993,3667,118132,137358,,91,,,,,599,,,,,,,,,1.13
2020-12-21,42126,184464,18774,2746,2479151,25233,21283,679764,137358,,179,,,,,1284,,,,,,,,,1.11
2020-12-22,42507,186058,19195,2728,2490946,24964,18332,741856,140766,,256,,,,,1776,,,,,,,,,1.09
2020-12-23,42783,187272,19195,2710,2505875,24884,16831,734785,140766,,200,,,,,1421,,,,,,,,,1.06
2020-12-24,43073,188639,19195,2652,2527509,24639,12983,505992,140766,,186,,,,,1452,,,,,,,,,1.02
2020-12-25,43232,189445,19195,2625,2547771,24392,1302,38767,140766,,112,,,,,743,,,,,,,,,1
2020-12-26,43378,189718,19195,2649,2550864,24477,9753,222810,140766,,101,,,,,513,,,,,,,,,0.97
2020-12-27,43551,189941,19195,2659,2559686,24653,2097,48016,140766,,107,,,,425,589,,425,,,,58500,58500,,0.96
2020-12-28,43914,190722,19195,2703,2562646,24678,22062,397738,140766,,229,,,,865,1212,,440,,,,58500,58500,,0.95
2020-12-29,44298,191806,19780,2675,2574041,24776,19539,366121,145914,,251,,,,1144,1625,,279,,,,58500,58500,,0.96
2020-12-30,44601,193045,19780,2661,2600498,24593,19198,399554,145914,,209,,,,1478,1399,,334,,,,58500,58500,,0.97
2020-12-31,44852,194221,19780,2634,2620425,24440,15552,337208,145914,,176,,,,1745,1310,,267,,,,58500,58500,,0.99
2021-01-01,44985,194901,19780,2618,2639773,24296,1517,33219,145914,,99,,,,2056,677,,311,,,,58500,58500,,1.01
2021-01-02,45141,195174,19780,2641,2643239,24491,13401,229971,145914,,101,,,,2309,645,,253,,,,58500,58500,,1.03
2021-01-03,45257,195386,19780,2674,2655728,24813,2818,47173,145914,,101,,,,2590,656,,281,,,,522600,522600,,1.06
2021-01-04,45635,196037,19780,2666,2659750,24995,27817,427645,145914,,245,,,,4382,1258,,1792,,,,522600,522600,,1.09
2021-01-05,45980,197503,20302,2625,2680239,24904,22099,344235,149671,,244,,,,10112,1737,,5730,,,,522600,522600,,1.12
2021-01-06,46263,198756,20302,2616,2705618,24741,19479,312996,149671,,234,,,,21744,1433,,11632,,,,522600,522600,,1.15
2021-01-07,46539,200079,20302,2582,2727321,24521,18757,326630,149671,,180,,,,50840,1438,,29096,,,,522600,522600,,1.17
2021-01-08,46815,201286,20616,2615,2747135,24410,19401,350028,152693,,245,,,,87590,1439,,36750,,,,522600,522600,,1.18
2021-01-09,46983,202165,20616,2609,2767312,24273,10921,188814,152693,,143,,,,98684,941,,11094,,,,522600,522600,,1.18
2021-01-10,47134,202429,20616,2629,2783256,24559,2573,42285,152693,,117,,,,104461,728,,5777,,,,1042275,1042275,0,1.17
2021-01-11,47444,203072,20616,2676,2786838,24846,26074,396962,152693,,208,,,,144115,1285,,39654,,,,1042275,1042275,0,1.15
2021-01-12,47799,204390,21003,2688,2806590,24737,20324,337656,156006,,257,,,,205829,1653,,61714,,,,1042275,1042275,0,1.13
2021-01-13,48028,205672,21003,2711,2830442,24769,19835,312625,156006,,208,,,,270490,1581,,64661,,,,1042275,1042275,0,1.11
2021-01-14,48310,206802,21003,2726,2851670,25017,19956,322335,156006,,206,,,,352652,1685,,82162,,,,1042275,1042275,0,1.1
2021-01-15,48590,208071,21359,2740,2872941,25043,20901,350021,159791,,249,,,,421213,1630,,68561,,,,1042275,1042275,0,1.09
2021-01-16,48783,209056,21359,2741,2894347,25019,11819,198230,159791,,188,,,,441263,1197,,20050,,,,1042275,1042275,0,1.08
2021-01-17,48924,209343,21359,2776,2910989,25269,2841,44619,159791,,136,,,,452100,697,,10837,,,,1611600,1560000,51600,1.08
2021-01-18,49327,210200,21359,2813,2914725,25619,29121,397123,159791,,254,,,,537563,1659,,85463,10626,35,10661,1611600,1560000,51600,1.08
2021-01-19,49696,211816,21646,2839,2938333,25567,22710,336768,162430,,313,,,,667710,1988,,130147,10626,35,10661,1611600,1560000,51600,1.09
2021-01-20,50006,213242,21646,2852,2965117,25686,21497,320195,162430,,292,,,,804784,1907,,137074,10626,35,10661,1611600,1560000,51600,1.09
2021-01-21,50352,214538,21646,2876,2987965,25735,21870,339876,162430,,252,,,,962461,1755,,157677,10626,35,10661,1611600,1560000,51600,1.09
2021-01-22,50671,215822,21976,2912,3011257,25908,22823,382297,166457,,269,,,,1082982,1857,364235,120521,10626,35,10661,1611600,1560000,51600,1.08
2021-01-23,50901,216725,21976,2896,3035181,25900,12812,201342,166457,,172,,,,1121270,1169,364235,38288,10626,35,10661,1611600,1560000,51600,1.08
2021-01-24,51073,216965,21976,2965,3053617,26393,2755,42546,166457,,175,,,,1130895,918,364235,9625,10626,35,10661,2002380,1950780,51600,1.07
2021-01-25,51518,217708,21976,3041,3057857,26924,29850,431063,166457,,298,,,,1208694,1768,333655,77799,11825,269,12094,2002380,1950780,51600,1.06
2021-01-26,51868,219152,22238,3081,3079943,27041,22206,359201,169291,,343,,,,1308700,2002,333655,100006,11825,269,12094,2002380,1950780,51600,1.05
2021-01-27,52218,220570,22238,3107,3106859,27169,21128,339921,169291,,318,,,,1415603,1931,333655,106903,11825,269,12094,2002380,1950780,51600,1.05
2021-01-28,52562,221903,22238,3111,3130629,27166,22390,384735,169291,,270,,,,1539528,1719,333655,123925,11825,269,12094,2002380,1950780,51600,1.04
2021-01-29,52917,223174,22703,3130,3153487,27308,23060,414021,173312,,271,,,,1631325,1820,333655,91797,11825,269,12094,2002380,1950780,51600,1.04
2021-01-30,53159,224120,22703,3113,3177879,27282,12887,216809,173312,,192,,,,1660286,1174,333655,28961,11825,269,12094,2002380,1950780,51600,1.03
2021-01-31,53354,224406,22703,3158,3197114,27613,3145,44476,173312,,148,,,,1665393,816,298540,5107,11825,269,12094,2574510,2522910,51600,1.03
2021-02-01,53809,225319,22703,3228,3201461,27914,30038,441380,173312,,318,,,,1717716,1748,298540,52323,9740,2156,11896,2574510,2522910,51600,1.02
2021-02-02,54213,226896,23025,3280,3224798,28071,22756,384641,175811,,368,,,,1789474,2184,298540,71758,9740,2156,11896,2574510,2522910,51600,1.01
2021-02-03,54570,228472,23025,3277,3251160,27955,20718,350023,175811,,275,,,,1861337,1878,298540,71863,9740,2156,11896,2574510,2522910,51600,1
2021-02-04,54927,229975,23025,3250,3274608,27808,20713,378658,175811,,275,,,,1942868,1745,298540,81531,9740,2156,11896,2574510,2522910,51600,0.99
2021-02-05,55220,231549,23383,3245,3296747,27614,21468,422266,179604,,254,,,,2010735,1715,298540,67867,9740,2156,11896,2574510,2522910,51600,0.98
2021-02-06,55411,232693,23383,3225,3317333,27369,12100,222052,179604,,168,,,,2032995,1122,298540,22260,9740,2156,11896,2574510,2522910,51600,0.96
2021-02-07,55582,232977,23383,3272,3337048,27694,2611,43371,179604,,160,,,,2038045,785,298540,5050,9740,2156,11896,3487620,3088020,126000,0.95
2021-02-08,56040,233993,23383,3363,3341365,28037,25685,427443,179604,,355,,,,2084467,1889,298540,46422,8447,4362,12809,3487620,3088020,126000,0.93
2021-02-09,56476,235717,23671,3342,3360235,27677,19805,379381,181965,,333,,,,2150051,1926,298540,65584,8447,4362,12809,3487620,3088020,126000,0.92
2021-02-10,56772,237113,23671,3319,3385622,27461,18264,345271,181965,,282,,,,2220361,1520,298540,70310,8447,4362,12809,3487620,3088020,126000,0.92
2021-02-11,57132,238753,23671,3337,3406685,27007,17491,363138,181965,,269,,,,2307039,1610,298540,86678,8447,4362,12809,3487620,3088020,126000,0.91
2021-02-12,57449,240290,23999,3308,3427386,26468,18537,402956,184192,,264,,,,2385682,1402,205385,78643,8447,4362,12809,3487620,3088020,126000,0.91
2021-02-13,57648,241354,23999,3304,3448617,26240,10755,216134,184192,,191,,,,2407741,1082,205385,22059,8447,4362,12809,3487620,3088020,126000,0.91
2021-02-14,57815,241628,23999,3309,3465163,26445,2590,42733,184192,,113,,,,2412605,649,205385,4864,8447,4362,12809,4518300,3654300,273600,0.92
2021-02-15,58227,242528,23999,3381,3469539,26522,24969,420200,184192,,306,,,,2450203,1426,205385,37598,5795,9738,15533,4518300,3654300,273600,0.93
2021-02-16,58578,244238,24234,3348,3489129,26239,19739,360977,186226,,322,,,,2500034,1853,205385,49831,5795,9738,15533,4518300,3654300,273600,0.94
2021-02-17,58888,245737,24234,3350,3514147,25974,19684,338255,186226,,309,,,,2550010,1555,205385,49976,5795,9738,15533,4518300,3654300,273600,0.96
2021-02-18,59159,247127,24234,3394,3536648,25762,20500,362499,186226,,261,,,,2619104,1486,231294,69094,5795,9738,15533,4518300,3654300,273600,0.98
2021-02-19,59484,248488,24480,3390,3560764,25551,22266,404684,188270,,308,,,,2683689,1537,231294,64585,5795,9738,15533,4518300,3654300,273600,1
2021-02-20,59641,249520,24480,3369,3583135,25269,12530,215407,,,195,,,,2701996,1029,231294,18307,5795,9738,15533,4518300,3654300,273600,1.02
2021-02-21,59800,249727,24480,3392,3605181,25464,3031,43505,,,141,,,,2705121,593,231294,3125,5795,9738,15533,5749950,4338750,273600,1.04
2021-02-22,60133,250532,24480,3407,3609827,25831,29153,407028,,,274,,,,2742177,1529,231294,37056,7583,11909,19492,5749950,4338750,273600,1.05
2021-02-23,60443,252083,24601,3435,3629891,25660,22181,344211,,,345,,,,2795460,1780,231294,53283,7583,11909,19492,5749950,4338750,273600,1.07
2021-02-24,60720,253450,24601,3436,3661410,25614,21048,328880,,,319,,,,2854760,1636,231294,59300,7583,11909,19492,5749950,4338750,273600,1.07
2021-02-25,60981,254868,24601,3430,3686813,25317,21025,344404,,,301,,,,2954666,1454,231294,99906,7583,11909,19492,5749950,4338750,273600,1.07
2021-02-26,61265,256326,24856,3445,3712020,25130,21606,389895,,,303,,,,3067456,1634,159072,112790,7583,11909,19492,5749950,4338750,273600,1.07
2021-02-27,61450,257258,24856,3453,3736016,24989,12616,206530,,,208,,,,3119205,1007,159072,51749,7583,11909,19492,5749950,4338750,273600,1.06
2021-02-28,61572,257555,24856,3492,3755968,25280,2947,44423,,,164,,,,3125173,728,159072,5968,7583,11909,19492,6451950,5040750,273600,1.04
2021-03-01,61947,258384,24856,3544,3760671,25430,27422,404245,,,347,,,,3189881,1393,159072,64708,21348,10185,31533,6451950,5040750,273600,1.03
2021-03-02,62247,259893,24973,3586,3783528,25263,21151,337545,,,366,,,,3290436,1705,159072,100555,21348,10185,31533,6451950,5040750,273600,1.02
2021-03-03,62569,261289,24973,3637,3810316,25111,20453,320358,,,322,,,,3405789,1622,159072,115353,21348,10185,31533,6451950,5040750,273600,1.01
2021-03-04,62862,262690,24973,3633,3835595,24891,20495,345076,,,293,,,,3568377,1538,159072,162588,21348,10185,31533,6451950,5040750,273600,1.01
2021-03-05,63100,263919,25174,3680,3859102,24765,21912,395865,,,324,,,,3768185,1397,159072,199808,21348,10185,31533,6451950,5040750,273600,1.01
2021-03-06,63270,264909,25174,3689,3882408,24625,13697,213949,,,233,,,,3975313,1097,159072,207128,21348,10185,31533,6451950,5040750,273600,1.01
2021-03-07,63400,265295,25174,3743,3904233,24818,3146,46181,,,187,,,,4096070,720,159072,120757,21348,10185,31533,7955970,5796570,550800,1.02
2021-03-08,63759,266096,25174,3849,3909560,25195,29327,427662,,,381,,,,4202348,1584,35988,106278,25648,8386,34034,7955970,5796570,550800,1.04
2021-03-09,64057,267539,25244,3918,3932862,25201,23641,370517,,,421,,,,4373877,1810,35988,171529,25648,8386,34034,7955970,5796570,550800,1.06
2021-03-10,64321,269019,25311,3918,3963165,24969,23804,346112,,,343,,,,4551518,1574,35988,177641,25648,8386,34034,7955970,5796570,550800,1.07
2021-03-11,64586,270433,25311,3992,3990331,24858,24621,410370,,,385,,,,4793140,1609,35988,241622,25648,8386,34034,7955970,5796570,550800,1.09
2021-03-12,64809,271678,25311,4033,4015560,24749,26446,464619,,,306,,,,5086743,1448,35988,293603,25648,8386,34034,7955970,5796570,550800,1.11
2021-03-13,64978,272615,25311,4070,4045319,24671,17026,245043,,,263,,,,5317155,1087,35988,230412,25648,8386,34034,7955970,5796570,550800,1.13
2021-03-14,65118,272960,25311,4127,4071662,24989,4244,54509,,,188,,,,5380061,821,35988,62906,25648,8386,34034,9500250,6596850,550800,1.14
2021-03-15,65451,273771,25311,4219,4078133,25469,38779,495130,,,401,,,,5537598,1676,35988,157537,32797,7168,39966,9500250,6596850,550800,1.16
2021-03-16,65765,275360,25405,4239,4108108,25492,30758,448929,,,435,,,,5678263,2005,24792,140665,32797,7168,39966,9500250,6596850,550800,1.18
2021-03-17,66006,276993,25405,4219,4146609,25314,30439,404630,,,357,,,,5827849,1745,24792,149586,32797,7168,39966,9500250,6596850,550800,1.19
2021-03-18,66274,278263,25405,4246,4181607,25389,31205,483342,,,382,,,,5994657,1661,24792,166808,32797,7168,39966,9500250,6596850,550800,1.21
2021-03-19,66559,279646,25405,4287,4216695,25339,33200,545137,,,383,,,,6223572,1699,4780,228915,32797,7168,39966,9500250,6596850,550800,1.22
2021-03-20,66735,280571,25405,4353,4252022,25537,20732,282851,,,317,,,,6389523,1348,4780,165951,32797,7168,39966,9500250,6596850,550800,1.23
2021-03-21,66873,280955,25405,4406,4282603,25926,5008,59732,,,196,,,,6438953,926,4780,49430,32797,7168,39966,10991730,7397130,922800,1.23
2021-03-22,67216,281885,25405,4548,4298395,26488,46939,581562,,,471,,,,6607862,1902,4780,168909,40313,8627,48940,10991730,7397130,922800,1.24
2021-03-23,67503,283507,25405,4634,4313073,26756,38088,535627,,,488,,,,6856947,2286,717552,249085,40313,8627,48940,10991730,7397130,922800,1.23
2021-03-24,67748,285199,25405,4651,4378446,26876,37136,483128,,,384,,,,7112587,2130,717552,255640,40313,8627,48940,10991730,7397130,922800,1.23
2021-03-25,67973,286607,25405,4709,4424087,27036,38227,570672,,,408,,,,7453107,1860,717552,340520,40313,8627,48940,10991730,7397130,922800,1.22
2021-03-26,68276,288062,25999,4766,4465956,27242,39932,635140,,,476,,,,7810689,2048,1225188,357582,40313,8627,48940,10991730,7397130,922800,1.21
2021-03-27,68466,289350,25999,4791,4508575,27259,25130,347455,,,332,,,,8005218,1567,1225188,194529,40313,8627,48940,10991730,7397130,922800,1.2
2021-03-28,68597,289752,25999,4872,4545589,27712,5122,63358,,,238,,,,8064144,1017,1225188,58926,40313,8627,48940,12386520,8645520,922800,1.19
2021-03-29,68957,290810,25999,4974,4554683,28322,53130,687426,,,484,,,,8266191,2099,1225188,202047,41567,18431,59999,12386520,8645520,922800,1.17
2021-03-30,69293,292796,26044,5072,4585385,28510,43554,656016,,,569,,,,8550321,2579,1040340,284130,41567,18431,59999,12386520,8645520,922800,1.16
2021-03-31,69596,294638,26044,5053,4644423,28463,39629,570396,,,472,,,,8812067,2209,1040340,261746,41567,18431,59999,12386520,8645520,922800,1.13
2021-04-01,69904,296166,26044,5109,4695082,28581,39506,660087,,,480,,,,9125264,2035,1363200,313197,41567,18431,59999,12386520,8645520,922800,1.11
2021-04-02,70204,297734,26076,5254,4741759,28729,38693,670440,,,505,,,,9405290,2092,1363200,280026,41567,18431,59999,12386520,8645520,922800,1.08
2021-04-03,70389,299075,26076,5273,4755676,28886,24320,406226,,,399,,,,9545510,1730,1363200,140220,41567,18431,59999,12386520,8645520,922800,1.05
2021-04-04,70574,299624,26076,5341,4822470,29356,4932,66133,,,270,,,,9590920,1224,1363200,45410,41567,18431,59999,13961340,9892740,1094400,1.01
2021-04-05,70771,300064,26076,5433,4833263,29907,8602,102929,,,284,,,,9650651,1219,939360,59731,45725,21980,67706,13961340,9892740,1094400,0.98
2021-04-06,71180,301299,26093,5626,4841308,30639,53843,630442,,,632,,,,9866250,2459,939360,215599,45725,21980,67706,13961340,9892740,1094400,0.96
2021-04-07,71601,303639,26093,5729,4854259,30904,39110,478017,,,673,,,,10124659,3131,939360,258409,45725,21980,67706,13961340,9892740,1094400,0.94
2021-04-08,71944,305711,26093,5705,4939258,30555,37007,469491,,,498,,,,10460404,2156,939360,335745,45725,21980,67706,13961340,9892740,1094400,0.94
2021-04-09,72243,307674,26124,5757,4980501,30326,37967,509716,,,498,,,,10868657,2120,939360,408253,45725,21980,67706,13961340,9892740,1094400,0.94
2021-04-10,72450,309136,26124,5769,5023785,30238,24061,296143,,,388,,,,11080246,1649,939360,211589,45725,21980,67706,13961340,9892740,1094400,0.95
2021-04-11,72626,309787,26124,5838,5058680,30671,5008,59391,,,286,,,,11135776,1305,939360,55530,45725,21980,67706,17648610,11730810,1479600,0.96
2021-04-12,73011,310934,26124,5916,5067216,31262,46289,479982,,,492,,,,11371341,2172,1298640,235565,48312,32774,81089,17648610,11730810,1479600,0.97
2021-04-13,73335,313051,26145,5952,5106329,31226,34343,391481,,,555,,,,11679090,2501,1298640,307749,48312,32774,81089,17648610,11730810,1479600,0.98
2021-04-14,73632,315152,26145,5902,5149834,30868,31734,370342,,,441,,,,11971297,2072,1558674,292207,48312,32774,81089,17648610,11730810,1479600,0.98
2021-04-15,73928,317036,26145,5924,5187879,30668,31432,375978,,,501,,,,12305811,2062,1558674,334514,48312,32774,81089,17648610,11730810,1479600,0.97
2021-04-16,74234,318923,26170,5914,5224321,30472,32279,417543,,,463,,,,12643545,2044,1558674,337734,48312,32774,81089,17648610,11730810,1479600,0.96
2021-04-17,74423,320275,26170,5877,5260182,30329,20400,248259,,,359,,,,12831260,1471,1558674,187715,48312,32774,81089,17648610,11730810,1479600,0.95
2021-04-18,74563,320757,26170,5893,5289526,30789,4597,52311,,,233,,,,12882275,1111,1558674,51015,48312,32774,81089,20144280,13568880,1945200,0.94
2021-04-19,75010,321889,26170,5970,5296222,31214,41366,418542,,,502,,,,13086465,2066,1146588,204190,48852,37737,86593,20144280,13568880,1945200,0.93
2021-04-20,75384,323961,26184,5984,5339320,31086,30755,343724,,,601,,,,13338944,2404,1146588,252479,48852,37737,86593,20144280,13568880,1945200,0.92
2021-04-21,75697,325811,26184,5959,5374288,30954,29202,326481,,,476,,,,13590290,2095,1146588,251346,48852,37737,86593,20144280,13568880,1945200,0.91
2021-04-22,75980,327668,26184,5981,5408606,30634,28014,331139,,,478,,,,13875974,1878,1146588,285684,48852,37737,86593,20144280,13568880,1945200,0.9
2021-04-23,76285,329405,26211,5962,5440946,30438,28363,377861,,,436,,,,14171401,1932,1926042,295427,48852,37737,86593,20144280,13568880,1945200,0.9
2021-04-24,76502,330838,26211,5958,5473579,30100,17505,223674,,,348,,,,14360748,1368,1926042,189347,48852,37737,86593,20144280,13568880,1945200,0.89
2021-04-25,76647,331362,26211,5978,5498044,30287,3624,49268,,,218,,,,14429677,881,1926042,68929,48852,37737,86593,22663950,15406950,1945200,0.88
2021-04-26,77045,332563,26211,6001,5503996,30596,34219,407447,,,470,,,,14649229,1944,1926042,219552,55449,43275,98725,22663950,15406950,1945200,0.87
2021-04-27,77370,334577,26233,5943,5534313,30281,24814,360034,,,484,,,,14932023,2109,1122408,282794,55449,43275,98725,22663950,15406950,1945200,0.85
2021-04-28,77685,336281,26233,5879,5565852,29911,22117,315329,,,349,,,,15229830,1708,1122408,297807,55449,43275,98725,22663950,15406950,1945200,0.84
2021-04-29,77991,338000,26233,5804,5592390,29487,21306,387020,,,392,,,,15584950,1711,1122408,355120,55449,43275,98725,22663950,15406950,1945200,0.82
2021-04-30,78261,339650,26253,5675,5616689,28930,22670,470591,,,323,,,,15955239,1433,1122408,370289,55449,43275,98725,22663950,15406950,1945200,0.81
2021-05-01,78453,340997,26253,5581,5642359,28603,3995,69450,,,310,,,,16120386,1246,1122408,165147,55449,43275,98725,22663950,15406950,1945200,0.79
2021-05-02,78566,341458,26253,5585,5652247,28818,3563,58017,,,173,,,,16211175,798,1122408,90789,55449,43275,98725,25617660,17984460,2211600,0.78
2021-05-03,78877,342451,26253,5630,5656007,28950,28933,473404,,,386,,,,16497117,1495,1122408,285942,67323,45718,113042,25617660,17984460,2211600,0.77
2021-05-04,79120,344265,26267,5504,5680378,28427,20212,405706,,,355,,,,16809810,1591,2504694,312693,67323,45718,113042,25617660,17984460,2211600,0.77
2021-05-05,79364,346184,26267,5402,5706378,27686,17637,354362,,,312,,,,17132964,1459,2504694,323154,67323,45718,113042,25617660,17984460,2211600,0.76
2021-05-06,79583,347768,26267,5231,5728090,26985,17148,444149,,,273,,,,17508969,1151,2332452,376005,67323,45718,113042,25617660,17984460,2211600,0.77
2021-05-07,79809,349293,26292,5106,5747214,26331,18167,508482,,,269,,,,17879020,1140,2332452,370051,67323,45718,113042,25617660,17984460,2211600,0.77
2021-05-08,79985,350471,26292,5005,5767959,25800,4036,87101,,,191,,,,18099719,844,2332452,220699,67323,45718,113042,25617660,17984460,2211600,0.77
2021-05-09,80100,350873,26292,4971,5777087,25797,2883,57974,,,124,,,,18228605,527,2332452,128886,67323,45718,113042,30795900,20502300,2515200,0.78
2021-05-10,80392,351795,26292,4870,5780379,25666,23897,522292,,,265,,,,18537577,1125,2332452,308972,103634,33588,137225,30795900,20502300,2515200,0.78
2021-05-11,80628,353370,26307,4743,5800170,25028,16633,481167,,,285,,,,18938320,1239,2570886,400743,103634,33588,137225,30795900,20502300,2515200,0.78
