date,nouveaux_deces,nouveaux_gueris,nouveaux_decesEhpad,total_reanimation,nouveaux_casConfirmes,total_hospitalises,nouveaux_testsPositifs,nouveaux_testsRealises,nouveaux_casConfirmesEhpad,nouvellesReanimations,nouvellesHospitalisations,nouvellesPremieresInjections,nouveau_r0
2021-05-21,109,1007,14,3631,12800,20209,12507,454222,,139,625,486306,0.86
2021-05-22,89,791,0,3544,12611,19765,7792,244957,,115,468,345128,0.86
2021-05-23,70,304,0,3515,9704,19720,1777,52583,,73,324,160684,0.85
2021-05-24,62,207,0,3496,2229,19701,3500,96934,,66,260,261368,0.84
2021-05-25,198,837,23,3447,3155,19430,16536,485434,,205,796,397052,0.82
2021-05-26,144,1307,0,3330,12646,18593,11863,357218,,181,671,410423,0.82
2021-05-27,142,977,0,3206,13933,17941,11135,408093,,127,499,446696,0.81
2021-05-28,98,1086,27,3104,11268,17272,10609,446847,,155,539,426736,0.81
2021-05-29,68,680,0,3028,10675,16847,6346,229396,,93,334,297415,0.82
2021-05-30,44,225,0,2993,8541,16775,1493,51041,,43,199,106129,0.82
2021-05-31,126,563,0,2945,1211,16596,11771,400167,,140,529,355546,0.82
2021-06-01,127,923,7,2825,9848,16088,7957,348579,,145,596,422195,0.81
2021-06-02,96,810,0,2754,8743,15638,7596,314482,,106,491,412228,0.8
2021-06-03,70,723,0,2677,8161,15283,7009,367151,,94,458,458070,0.78
2021-06-04,81,785,7,2571,6953,14801,6620,419741,,91,408,451349,0.76
2021-06-05,57,463,0,2525,6654,14532,3947,212620,,62,267,302134,0.73
2021-06-06,25,135,0,2527,5070,14525,899,46046,,52,154,131354,0.7
2021-06-07,64,493,0,2472,1164,14323,7281,375396,,97,383,334268,0.68
2021-06-08,72,660,3,2394,6018,13984,5022,328056,,106,405,389570,0.66
2021-06-09,65,773,0,2326,5557,13526,4229,280645,,94,391,380235,0.64
2021-06-10,68,632,0,2245,4475,13090,3821,342036,,74,297,398060,0.62
2021-06-11,69,622,5,2163,3871,12712,3964,381777,,66,313,383495,0.6
2021-06-12,34,365,0,2110,3972,12496,2189,198681,,48,198,281039,0.58
2021-06-13,13,102,0,2106,2855,12480,505,46560,,26,111,103771,0.57
2021-06-14,63,366,0,2068,689,12374,3963,341393,,71,325,237877,0.56
2021-06-15,76,679,4,1952,3235,11895,2849,283856,,69,300,304411,0.54
2021-06-16,44,527,0,1873,3058,11519,2520,250972,,39,198,310443,0.53
2021-06-17,56,560,0,1799,2786,11114,2496,319336,,46,225,314297,0.53
2021-06-18,50,472,18,1740,2439,10738,2596,386969,,53,171,318906,0.53
2021-06-19,22,263,0,1703,2624,10531,1442,204767,,24,102,222942,0.53
2021-06-20,14,49,0,1703,1815,10518,384,49756,,15,51,73231,0.53
2021-06-21,40,299,0,1655,487,10386,2713,315188,,48,216,193087,0.54
2021-06-22,51,448,0,1560,2204,10046,2079,257638,,47,181,220591,0.55
2021-06-23,33,398,0,1509,2320,9771,1986,233048,,42,167,231178,0.57
2021-06-24,44,469,0,1439,2007,9392,1983,291230,,27,140,239264,0.59
2021-06-25,33,304,0,1389,1986,9190,2139,354728,,39,148,224388,0.62
2021-06-26,12,225,0,1349,2128,9024,1311,208557,,14,81,151713,0.65
2021-06-27,17,63,0,1345,1578,8986,428,52307,,13,42,55074,0.69
2021-06-28,44,262,0,1304,509,8846,2861,320664,,41,176,152645,0.74
2021-06-29,28,321,17,1250,2314,8627,2362,263456,,29,134,180696,0.8
2021-06-30,25,283,0,1204,2457,8451,2791,268565,,31,158,201569,0.86
2021-07-01,29,287,0,1162,2664,8232,2707,324051,,30,109,224915,0.93
2021-07-02,24,278,0,1123,2683,8044,3148,397365,,17,118,223142,1.01
2021-07-03,17,165,0,1102,3006,7912,2182,267748,,17,79,140123,1.08
2021-07-04,9,31,0,1104,2549,7913,755,67287,,12,41,55796,1.16
2021-07-05,36,201,0,1077,796,7806,4599,374033,,30,137,164469,1.22
2021-07-06,34,276,0,1032,3585,7637,3872,294124,,30,149,193583,1.29
2021-07-07,28,201,0,997,4081,7539,4528,309521,,30,140,208843,1.34
2021-07-08,25,230,0,971,4442,7384,4543,358701,,26,100,228424,1.39
2021-07-09,18,230,0,953,4580,7275,5055,464879,,30,147,226048,1.44
2021-07-10,19,172,0,947,4696,7183,3514,343620,,9,101,146748,1.48
2021-07-11,4,19,0,947,4256,7183,1244,90288,,4,23,59326,1.54
2021-07-12,28,283,0,957,1260,7137,8534,392881,,55,267,166506,1.6
2021-07-13,22,280,32,933,6950,7076,8777,405761,,37,246,284722,1.68
2021-07-14,6,135,0,931,8875,7047,2592,112680,,19,115,178848,1.77
2021-07-15,16,178,0,914,3617,7054,13398,444225,,36,213,343956,1.86
2021-07-16,22,280,0,899,10908,6971,12674,492118,,33,220,377432,1.96
2021-07-17,16,142,0,890,10949,6922,9824,367824,,21,114,258213,2.04
2021-07-18,5,30,0,891,12532,6936,3278,100378,,9,54,108880,2.09
2021-07-19,20,234,0,902,4151,7041,22822,442928,,76,360,283312,2.11
2021-07-20,33,415,0,876,18181,6912,20724,418068,,61,327,374371,2.1
2021-07-21,22,284,0,859,21539,6869,22455,514814,,64,281,393242,2.06
2021-07-22,11,305,0,868,21909,6832,20670,497488,,59,292,438270,1.99
2021-07-23,29,314,8,872,19561,6802,22518,725339,,69,330,436411,1.91
2021-07-24,22,176,0,878,25624,6787,15922,566350,,35,182,284202,1.81
2021-07-25,6,29,0,886,15242,6843,4659,142968,,16,92,120224,1.72
2021-07-26,44,305,1,952,5307,7079,33172,631094,,135,607,345543,1.63
2021-07-27,28,465,0,978,26871,7137,25629,531515,,121,557,461297,1.55
2021-07-28,43,371,1,992,27934,7208,24980,537413,,91,490,456659,1.47
2021-07-29,27,417,1,1015,25190,7236,24092,605074,,91,501,486984,1.4
2021-07-30,60,432,3,1072,24309,7363,24174,842440,,165,640,459418,1.34
2021-07-31,43,365,0,1099,23471,7409,15973,622393,,91,467,284294,1.28
2021-08-01,18,108,0,1137,19600,7581,4678,158731,,69,312,110017,1.23
2021-08-02,51,366,2,1232,5184,7840,34228,670190,,170,688,336547,1.18
2021-08-03,56,579,3,1331,26829,7974,26621,550943,,218,818,393792,1.15
2021-08-04,48,495,1,1371,28784,8134,25740,550320,,157,772,381516,1.12
2021-08-05,49,594,3,1420,26460,8210,25111,599912,,150,712,362924,1.09
2021-08-06,60,601,4,1458,25077,8368,25778,812196,,165,862,356807,1.08
2021-08-07,32,385,0,1510,25755,8425,17218,623575,,136,482,211270,1.07
2021-08-08,28,201,0,1556,20450,8685,5368,181295,,117,498,72694,1.06
2021-08-09,68,400,7,1667,5775,9022,36086,945128,,230,833,256204,1.06
2021-08-10,68,692,2,1712,28576,9153,28609,823111,,211,944,303055,1.06
2021-08-11,53,614,5,1745,30920,9233,26981,774216,,158,773,276766,1.06
2021-08-12,77,546,0,1807,28554,9465,26478,863336,,191,894,268999,1.05
2021-08-13,74,666,16,1831,26453,9546,25229,1002999,,188,836,249962,1.04
2021-08-14,51,429,2,1837,24427,9648,17614,840311,,118,606,144141,1.03
2021-08-15,44,188,0,1852,21172,9798,5169,197636,,73,399,37887,1.02
2021-08-16,96,479,11,1908,5829,10151,34204,975439,,178,950,184127,1
2021-08-17,111,839,0,1953,28114,10219,25271,821041,,245,1075,213315,0.99
2021-08-18,112,776,10,2054,28405,10336,22985,753852,,299,1036,196843,0.97
2021-08-19,127,745,2,2049,23973,10392,21857,856307,,186,976,190148,0.96
2021-08-20,82,662,3,2091,22319,10515,22396,1064704,,214,887,184043,0.94
2021-08-21,129,669,0,2106,22636,10463,14900,769513,,165,805,103823,0.93
2021-08-22,94,233,21,2128,17300,10651,4562,182326,,103,542,31474,0.92
2021-08-23,108,437,1,2215,5166,11007,29681,896800,,235,943,139516,0.91
2021-08-24,152,856,4,2221,24853,11066,21356,737987,,214,1145,160922,0.9
2021-08-25,93,682,10,2239,23706,11171,18948,673609,,182,883,149208,0.89
2021-08-26,107,667,15,2261,19683,11104,17762,755513,,191,741,141175,0.88
2021-08-27,95,739,11,2270,18249,11162,17766,978790,,194,908,146556,0.86
2021-08-28,74,480,0,2259,17590,11052,11529,723868,,119,465,89761,0.85
2021-08-29,53,202,0,2276,13630,11092,3546,168926,,71,311,26884,0.84
2021-08-30,98,444,15,2290,3795,11245,22431,823050,,159,725,115934,0.83
2021-08-31,134,920,1,2292,19425,11120,16345,643381,,218,941,127583,0.82
2021-09-01,83,633,12,2294,17621,11119,15258,572051,,187,742,124990,0.81
2021-09-02,103,707,6,2275,15911,10934,13142,618483,,143,648,105383,0.8
2021-09-03,93,614,2,2259,13466,10816,13079,845584,,159,624,114563,0.79
2021-09-04,83,481,0,2223,13336,10654,9253,658034,,124,424,88206,0.79
2021-09-05,49,178,0,2217,10410,10644,2774,140194,,60,227,20856,0.78
2021-09-06,102,426,24,2249,3042,10757,16611,688945,,187,661,70945,0.77
2021-09-07,108,725,0,2259,14534,10646,11686,550374,,200,761,74336,0.76
2021-09-08,100,682,19,2224,12828,10438,10509,518153,,174,595,85219,0.76
2021-09-09,103,552,11,2195,10969,10323,9927,613496,,139,554,71877,0.75
2021-09-10,80,607,14,2151,9966,10115,9785,836652,,135,505,91026,0.74
2021-09-11,46,363,0,2131,9601,10018,6531,637240,,91,322,65020,0.73
2021-09-12,29,162,0,2129,7679,10012,1880,137477,,34,187,12302,0.72
2021-09-13,86,373,11,2103,2062,9986,11771,665563,,116,446,59880,0.72
2021-09-14,94,712,0,2000,10327,9739,8387,549677,,137,577,70166,0.72
2021-09-15,77,540,3,1959,9144,9555,7873,497421,,119,452,72364,0.72
2021-09-16,65,524,9,1952,8128,9297,7211,564313,,103,382,60923,0.71
2021-09-17,66,505,26,1891,7373,9070,7414,792154,,81,371,72093,0.71
2021-09-18,42,340,0,1837,7414,8912,5016,578139,,68,243,46658,0.71
2021-09-19,28,106,0,1832,5814,8887,1400,120079,,33,113,7476,0.71
2021-09-20,21,321,9,1805,1515,8845,8904,613961,,114,373,40791,0.71
2021-09-21,152,571,1,1744,7851,8594,6376,508604,,136,503,44104,0.72
2021-09-22,58,462,2,1656,6794,8414,5963,454397,,68,361,46339,0.72
2021-09-23,62,397,4,1609,6229,8237,5905,531917,,71,301,41274,0.73
2021-09-24,49,372,4,1586,5879,8107,6090,733997,,72,296,50210,0.74
2021-09-25,29,284,0,1571,6012,7980,4176,532252,,54,196,32935,0.75
2021-09-26,14,59,0,1577,4706,7994,1150,106536,,35,89,5103,0.76
2021-09-27,74,276,10,1571,1309,7980,7628,573297,,94,343,32307,0.77
2021-09-28,58,398,0,1524,6765,7801,5543,486129,,79,304,34757,0.78
2021-09-29,42,289,1,1466,5835,7726,5070,435943,,52,254,42485,0.79
2021-09-30,56,330,5,1414,5204,7565,4955,528416,,58,238,34060,0.79
2021-10-01,46,315,3,1355,4935,7410,4916,707379,,48,214,45248,0.8
2021-10-02,30,208,0,1325,4948,7294,3298,528119,,33,141,35147,0.8
2021-10-03,9,52,0,1326,3744,7308,1041,99368,,19,76,4754,0.8
2021-10-04,50,233,5,1328,1138,7299,6313,512775,,71,283,27637,0.81
2021-10-05,61,438,0,1279,5558,7096,4770,456593,,75,290,28832,0.82
2021-10-06,34,218,5,1242,4946,7038,4413,403360,,40,202,38470,0.83
2021-10-07,34,273,2,1200,4615,6903,4610,472095,,47,194,27922,0.85
2021-10-08,38,273,3,1164,4470,6805,4692,675146,,52,218,43261,0.87
2021-10-09,15,211,0,1127,4734,6706,3525,513466,,26,128,31963,0.89
2021-10-10,8,52,0,1132,3991,6737,991,92179,,17,91,3810,0.92
2021-10-11,30,197,5,1145,1120,6729,6742,507184,,58,226,26844,0.95
2021-10-12,53,284,0,1111,5880,6629,5281,444769,,68,254,28321,0.98
2021-10-13,23,220,1,1091,5578,6601,5126,413661,,58,219,37251,1.01
2021-10-14,38,226,2,1075,5187,6523,6292,807629,,44,206,27845,1.03
2021-10-15,34,229,2,1051,6099,6470,4661,373010,,43,215,41086,1.05
2021-10-16,15,124,0,1049,4899,6437,3325,283478,,25,109,29580,1.05
2021-10-17,5,51,0,1052,3778,6448,969,60478,,18,71,3228,1.05
2021-10-18,41,206,5,1049,1057,6468,6910,390329,,67,277,25244,1.05
2021-10-19,39,218,0,1046,5934,6483,,,,63,286,24888,1.05
2021-10-20,21,245,5,1026,6036,6465,,,,44,263,32057,1.05
2021-10-21,35,240,2,1009,6127,6453,,,,59,273,32057,1.05
