date,S,V,I,R,r0,nouveau_taux_vaccination
2021-03-14,57677531,5250807,236067,3835595,1.16,0.0010678161657093125
2021-03-15,57517633,5404234,219031,3859102,1.17,0.0026674776411609287
2021-03-16,57350255,5541637,225700,3882408,1.18,0.0023958568274892586
2021-03-17,57166461,5686930,242376,3904233,1.18,0.0025415776568712203
2021-03-18,56969126,5849267,272047,3909560,1.19,0.0028495610060789768
2021-03-19,56711175,6072130,283833,3932862,1.19,0.003929789851823737
2021-03-20,56513323,6234655,288857,3963165,1.19,0.00287587052702599
2021-03-21,56434495,6282902,292272,3990331,1.19,8.549203815857659E-4
2021-03-22,56253925,6447680,282835,4015560,1.19,0.0029291822748368224
2021-03-23,55995896,6691031,267754,4045319,1.19,0.004345872061766812
2021-03-24,55680235,6941319,306784,4071662,1.19,0.00449509597076952
2021-03-25,55302723,7273190,345954,4078133,1.19,0.006000988414259457
2021-03-26,54910964,7623080,357848,4108108,1.19,0.0063719515104488055
2021-03-27,54677656,7813769,361966,4146609,1.19,0.0034875123395926117
2021-03-28,54583314,7871097,363982,4181607,1.18,0.0010502843414747591
2021-03-29,54377333,8067984,337988,4216695,1.17,0.0036207549936294226
2021-03-30,54070537,8344078,333363,4252022,1.16,0.005106181948960484
2021-03-31,53758436,8597141,361820,4282603,1.15,0.004707410014681231
2021-04-01,53408580,8896338,396687,4298395,1.13,0.005602039971854709
2021-04-02,53090728,9167513,428686,4313073,1.11,0.005107765710050161
2021-04-03,52939883,9304441,377230,4378446,1.08,0.002586480971255641
2021-04-04,52828870,9348660,398383,4424087,1.08,8.370233927017557E-4
2021-04-05,52760162,9406575,367307,4465956,1.08,0.0010977032253994975
2021-04-06,52551763,9606929,332733,4508575,1.08,0.0038125076793332317
2021-04-07,52292486,9853255,308670,4545589,1.08,0.00471054292580391
2021-04-08,51889612,10171130,384575,4554683,1.08,0.006125985293549699
2021-04-09,51463502,10555997,395116,4585385,1.08,0.007478445598202781
2021-04-10,51214972,10761243,379362,4644423,1.08,0.004007539045418203
2021-04-11,51126627,10814693,363598,4695082,1.08,0.001045443502463012
2021-04-12,51118091,10814693,325457,4741759,1.08,0.0010456180767783366
