date,deces,gueris,decesEhpad,reanimation,casConfirmes,hospitalises,testsRealises,testsPositifs,casConfirmesEhpad,casPossiblesEhpad,nouvellesReanimations,stockNombreTotalDoses,stockNombreDosesPfizer,stockNombreDosesModerna,cumulPremieresInjections,nouvellesHospitalisations,stockEhpadNombreDosesPfizer,nouvellesPremieresInjections,totalPrisesRendezVousSemaine,prisesRendezVousSemaineRang1,prisesRendezVousSemaineRang2,livraisonsCumulNombreTotalDoses,livraisonsCumulNombreDosesPfizer,livraisonsCumulNombreDosesModerna,r0
2020-04-15,10643,30995,6524,6457,106206,31779,12608,1211,14393,27264,284,,,,,2415,,,,,,,,,
2020-04-16,11060,32812,6860,6248,108847,31305,11959,1082,18967,37213,270,,,,,2084,,,,,,,,,
2020-04-17,11478,34420,7203,6027,109252,31190,11470,959,20272,38717,242,,,,,2166,,,,,,,,,
2020-04-18,11842,35983,7481,5833,111821,30639,2361,186,22163,39972,206,,,,,1565,,,,,,,,,
2020-04-19,12069,36578,7649,5744,112606,30610,502,32,23048,40288,137,,,,,890,,,,,,,,,
2020-04-20,12513,37409,7752,5683,114657,30584,9224,660,23668,40726,208,,,,,1464,,,,,,,,,
2020-04-21,12900,39181,7896,5433,117324,30106,11557,697,,,190,,,,,1885,,,,,,,,,
2020-04-22,13236,40657,8104,5218,119151,29741,11047,602,25513,,183,,,,,1619,,,,,,,,,
2020-04-23,13547,42088,8309,5053,120804,29219,9872,585,26840,37379,178,,,,,1410,,,,,,,,,
2020-04-24,13852,43493,8393,4870,122577,28658,9077,471,27880,37251,155,,,,,1346,,,,,,,,,
2020-04-25,14050,44594,8564,4725,124114,28222,1397,66,29126,37374,124,,,,,999,,,,,,,,,
2020-04-26,14202,44903,8654,4682,124575,28217,306,13,29643,37525,79,,,,,481,,,,,,,,,
2020-04-27,14497,45513,8796,4608,128339,28055,7431,291,30227,37503,125,,,,,964,,,,,,,,,
2020-04-28,14810,46886,8850,4387,129859,27484,8104,336,30817,39076,153,,,,,1321,,,,,,,,,
2020-04-29,15053,48228,9034,4207,128442,26834,9850,363,31795,,110,,,,,1070,,,,,,,,,
2020-04-30,15244,49476,9132,4019,129581,26283,8793,265,32355,,121,,,,,1048,,,,,,,,,
2020-05-01,15369,50212,9225,3878,130185,25887,232,4,32791,,73,,,,,668,,,,,,,,,
2020-05-02,15487,50562,9273,3827,130979,25827,1369,49,33271,,64,,,,,453,,,,,,,,,
2020-05-03,15583,50784,9312,3819,131287,25815,197,11,33361,,80,,,,,345,,,,,,,,,
2020-05-04,15826,51371,9375,3696,131863,25548,10093,302,33791,,84,,,,,689,,,,,,,,,
2020-05-05,16060,52736,9471,3430,132967,24775,10772,278,34108,,111,,,,,987,,,,,,,,,
2020-05-06,16237,53972,9572,3147,137150,23983,9391,206,34507,,69,,,,,833,,,,,,,,,
2020-05-07,16386,55027,9601,2961,137779,23208,8596,166,34653,,99,,,,,728,,,,,,,,,
2020-05-08,16497,55782,9733,2868,138421,22724,448,15,34890,,89,,,,,510,,,,,,,,,
2020-05-09,16573,56038,9737,2812,138854,22614,1529,33,35046,,38,,,,,265,,,,,,,,,
2020-05-10,16642,56217,9738,2776,139063,22569,293,17,35236,,38,,,,,253,,,,,,,,,
2020-05-11,16820,56724,9823,2712,139519,22284,10365,210,35195,,82,,,,,523,,,,,,,,,
2020-05-12,17003,57785,9988,2542,140227,21595,10608,177,35437,,92,,,,,670,,,,,,,,,
2020-05-13,17101,58673,9973,2428,140734,21071,39872,901,35604,,69,,,,,543,,,,,,,,,
2020-05-14,17224,59605,10201,2299,141356,20463,43188,1013,35820,,52,,,,,542,,,,,,,,,
2020-05-15,17342,60448,10187,2203,141919,19861,48470,1046,36126,,64,,,,,438,,,,,,,,,
2020-05-16,17412,61066,10213,2132,142291,19432,16674,292,36175,,46,,,,,350,,,,,,,,,
2020-05-17,17466,61213,10642,2087,142411,19361,6642,140,36461,,24,,,,,152,,,,,,,,,
2020-05-18,17589,61728,10650,1998,142903,19015,51929,1124,36599,,38,,,,,375,,,,,,,,,
2020-05-19,17714,62563,10308,1894,143427,18468,53467,1056,36530,,69,,,,,506,,,,,,,,,
2020-05-20,17812,63354,10320,1794,143845,17941,53760,1060,36751,,43,,,,,432,,,,,,,,,
2020-05-21,17870,63858,10345,1745,144163,17583,9778,197,36853,,28,,,,,271,,,,,,,,,
2020-05-22,17944,64209,10345,1701,144556,17383,51006,827,36853,,36,,,,,263,,,,,,,,,
2020-05-23,17987,64547,10345,1665,144806,17178,19095,267,36853,,30,,,,,233,,,,,,,,,
2020-05-24,18022,64617,10345,1655,144921,17185,7153,140,36853,,24,,,,,121,,,,,,,,,
2020-05-25,18112,65199,10345,1609,145279,16798,52079,717,36853,,45,,,,,342,,,,,,,,,
2020-05-26,18260,65879,10335,1555,145555,16264,54254,778,37235,,37,,,,,318,,,,,,,,,
2020-05-27,18260,66584,10336,1501,145746,15680,46835,732,37235,,32,,,,,271,,,,,,,,,
2020-05-28,18326,67191,10336,1429,149071,15208,44762,644,37235,,36,,,,,253,,,,,,,,,
2020-05-29,18387,67803,10327,1361,149668,14695,49682,597,37273,,29,,,,,255,,,,,,,,,
2020-05-30,18444,68268,10327,1325,151496,14380,20347,372,37273,,29,,,,,227,,,,,,,,,
2020-05-31,18475,68355,10327,1319,151753,14322,8566,188,37273,,18,,,,,72,,,,,,,,,
2020-06-01,18506,68440,10327,1302,152091,14288,10059,176,37273,,9,,,,,89,,,,,,,,,0.84
2020-06-02,18590,68812,10350,1253,151325,14028,49213,745,37405,,33,,,,,229,,,,,,,,,0.83
2020-06-03,18671,69455,10350,1210,151677,13514,45122,679,37405,,26,,,,,250,,,,,,,,,0.83
2020-06-04,18715,69976,10350,1163,152444,13101,41692,631,37405,,23,,,,,195,,,,,,,,,0.84
2020-06-05,18761,70504,10350,1094,153055,12696,46834,565,37405,,19,,,,,213,,,,,,,,,0.85
2020-06-06,18792,70806,10350,1059,153634,12479,19752,297,37405,,15,,,,,143,,,,,,,,,0.86
2020-06-07,18805,70842,10350,1053,153977,12461,7598,138,37405,,4,,,,,37,,,,,,,,,0.87
2020-06-08,18859,71062,10350,1024,154188,12315,45418,564,37405,,23,,,,,145,,,,,,,,,0.89
2020-06-09,18912,71506,10384,955,154591,11961,44007,577,37599,,15,,,,,169,,,,,,,,,0.9
2020-06-10,18935,71832,10384,933,155136,11678,40753,566,37599,,23,,,,,130,,,,,,,,,0.9
2020-06-11,18962,72149,10384,903,155561,11465,38892,626,37599,,26,,,,,143,,,,,,,,,0.9
2020-06-12,18990,72572,10384,879,156287,11124,44640,615,37599,,18,,,,,136,,,,,,,,,0.89
2020-06-13,19014,72808,10384,871,156813,10909,19243,217,37599,,14,,,,,68,,,,,,,,,0.89
2020-06-14,19023,72859,10384,869,157220,10881,6665,134,37599,,6,,,,,33,,,,,,,,,0.88
2020-06-15,19052,73044,10384,846,157372,10752,43906,501,37599,,12,,,,,114,,,,,,,,,0.87
2020-06-16,19090,73335,10457,820,157716,10535,43138,573,37901,,14,,,,,143,,,,,,,,,0.86
2020-06-17,19118,73667,10457,772,158174,10267,40195,747,37901,,14,,,,,116,,,,,,,,,0.86
2020-06-18,19146,73887,10457,752,158641,10125,37988,580,37901,,15,,,,,136,,,,,,,,,0.86
2020-06-19,19160,74117,10457,727,159452,9970,46068,700,37901,,10,,,,,116,,,,,,,,,0.86
2020-06-20,19176,74312,10457,715,160093,9837,21754,351,37901,,7,,,,,90,,,,,,,,,0.87
2020-06-21,19183,74372,10457,715,160377,9823,6512,113,37901,,5,,,,,48,,,,,,,,,0.88
2020-06-22,19206,74612,10457,701,160750,9693,48518,602,37901,,16,,,,,142,,,,,,,,,0.88
2020-06-23,19232,74871,10488,682,161267,9491,48497,661,37995,,15,,,,,117,,,,,,,,,0.89
2020-06-24,19243,75127,10488,658,161348,9299,45664,672,37995,,8,,,,,97,,,,,,,,,0.9
2020-06-25,19264,75351,10488,651,161348,9141,39974,512,37995,,15,,,,,124,,,,,,,,,0.91
2020-06-26,19290,75649,10488,634,162936,8886,51339,579,37995,,15,,,,,87,,,,,,,,,0.92
2020-06-27,19290,75649,10488,634,163454,8886,24647,339,37995,,9,,,,,55,,,,,,,,,0.94
2020-06-28,19290,75649,10488,634,163980,8886,8242,214,37995,,4,,,,,44,,,,,,,,,0.95
2020-06-29,19325,75999,10488,619,164260,8688,61826,676,37995,,15,,,,,102,,,,,,,,,0.97
2020-06-30,19346,76274,10497,602,164801,8536,59774,728,38107,,8,,,,,152,,,,,,,,,0.99
2020-07-01,19364,76549,10497,582,165719,8336,57332,634,38107,,17,,,,,106,,,,,,,,,1.01
2020-07-02,19378,76802,10497,573,166378,8148,55001,593,38107,,12,,,,,93,,,,,,,,,1.03
2020-07-03,19396,77060,10497,560,166960,7990,64392,749,38107,,12,,,,,125,,,,,,,,,1.04
2020-07-04,19388,77160,10497,517,167711,7863,29100,353,38107,,4,,,,,47,,,,,,,,,1.06
2020-07-05,19390,77179,10497,521,168159,7863,8546,103,38107,,5,,,,,21,,,,,,,,,1.07
2020-07-06,19423,77319,10497,548,168335,7850,67150,681,38107,,10,,,,,98,,,,,,,,,1.08
2020-07-07,19457,77655,10476,538,168810,7594,66328,572,39256,,21,,,,,127,,,,,,,,,1.09
2020-07-08,19489,77996,10476,529,169473,7297,65190,704,39256,,18,,,,,83,,,,,,,,,1.1
2020-07-09,19503,78170,10476,512,170094,7177,68826,708,39256,,8,,,,,79,,,,,,,,,1.12
2020-07-10,19528,78388,10476,496,170752,7062,77239,856,39256,,9,,,,,136,,,,,,,,,1.13
2020-07-11,19514,78454,10476,470,171504,6995,32662,353,39256,,7,,,,,57,,,,,,,,,1.15
2020-07-12,19515,78486,10476,473,172089,6991,8530,117,39256,,5,,,,,26,,,,,,,,,1.16
2020-07-13,19553,78597,10476,492,172377,6983,80818,880,39256,,10,,,,,68,,,,,,,,,1.17
2020-07-14,19539,78670,10476,465,172888,6907,12397,183,39256,,7,,,,,61,,,,,,,,,1.19
2020-07-15,19579,78820,10541,482,173304,6915,80349,858,39464,,16,,,,,133,,,,,,,,,1.21
2020-07-16,19597,79036,10541,481,173838,6796,84541,978,39464,,23,,,,,119,,,,,,,,,1.24
2020-07-17,19611,79244,10541,477,174674,6688,94262,963,39464,,17,,,,,119,,,,,,,,,1.26
2020-07-18,19599,79322,10541,450,175639,6614,40736,446,39464,,6,,,,,68,,,,,,,,,1.3
2020-07-19,19600,79384,10541,448,176404,6583,12299,192,39464,,4,,,,,36,,,,,,,,,1.33
2020-07-20,19636,79541,10541,467,176754,6589,93120,1037,39464,,18,,,,,137,,,,,,,,,1.36
2020-07-21,19649,79734,10516,455,177338,6482,89313,1100,39554,,12,,,,,109,,,,,,,,,1.39
2020-07-22,19656,79957,10516,445,178336,6366,89285,1174,39554,,17,,,,,132,,,,,,,,,1.41
2020-07-23,19666,80472,10516,436,179398,5957,88377,1153,39554,,13,,,,,123,,,,,,,,,1.42
2020-07-24,19676,80815,10516,410,180528,5720,96173,1277,39554,,16,,,,,126,,,,,,,,,1.42
2020-07-25,19664,80915,10516,368,181636,5634,43419,628,39554,,8,,,,,86,,,,,,,,,1.42
2020-07-26,19665,80947,10516,367,182565,5640,14991,264,39554,,1,,,,,36,,,,,,,,,1.41
2020-07-27,19693,81082,10516,398,183079,5655,103290,1433,39554,,25,,,,,118,,,,,,,,,1.4
2020-07-28,19708,81311,10515,385,183804,5551,104072,1370,39638,,22,,,,,172,,,,,,,,,1.39
2020-07-29,19723,81500,10515,380,185196,5450,108121,1477,39638,,14,,,,,118,,,,,,,,,1.38
2020-07-30,19739,81667,10515,381,186573,5375,105745,1552,39638,,14,,,,,116,,,,,,,,,1.37
2020-07-31,19750,81881,10515,371,187919,5298,110252,1638,39638,,16,,,,,152,,,,,,,,,1.37
2020-08-01,19736,82016,10515,344,189547,5177,47680,794,39638,,11,,,,,77,,,,,,,,,1.36
2020-08-02,19737,82029,10515,345,190739,5188,16522,250,39638,,3,,,,,25,,,,,,,,,1.36
2020-08-03,19779,82166,10515,384,191295,5198,113470,2023,39638,,29,,,,,142,,,,,,,,,1.36
2020-08-04,19790,82318,10506,388,192334,5162,106756,2014,39645,,21,,,,,139,,,,,,,,,1.36
2020-08-05,19799,82460,10506,384,194029,5148,106607,1965,39645,,15,,,,,137,,,,,,,,,1.36
2020-08-06,19806,82670,10506,390,195633,5060,109884,2165,39645,,21,,,,,141,,,,,,,,,1.36
2020-08-07,19818,82836,10506,383,197921,5011,112185,2303,39645,,20,,,,,136,,,,,,,,,1.36
2020-08-08,19800,82881,10506,366,200105,4981,49811,1007,39645,,12,,,,,73,,,,,,,,,1.36
2020-08-09,19800,82886,10506,368,201990,4992,17136,441,39645,,4,,,,,14,,,,,,,,,1.36
2020-08-10,19834,83047,10506,396,202775,5045,116932,2841,39645,,28,,,,,180,,,,,,,,,1.37
2020-08-11,19849,83237,10505,391,204172,5012,106682,2695,39744,,21,,,,,191,,,,,,,,,1.38
2020-08-12,19866,83472,10505,379,206696,4891,111775,2896,39744,,17,,,,,143,,,,,,,,,1.39
2020-08-13,19883,83663,10505,374,209365,4864,121209,3548,39744,,25,,,,,201,,,,,,,,,1.4
2020-08-14,19901,83848,10505,367,212211,4828,132924,3884,39744,,20,,,,,173,,,,,,,,,1.42
2020-08-15,19904,83880,10505,353,215521,4817,26874,770,39744,,15,,,,,87,,,,,,,,,1.44
2020-08-16,19905,83921,10505,376,218536,4860,22120,689,39744,,2,,,,,33,,,,,,,,,1.45
2020-08-17,19924,84065,10505,384,219029,4925,154447,5026,39744,,34,,,,,234,,,,,,,,,1.47
2020-08-18,19940,84309,10511,380,221267,4823,145471,4736,39930,,28,,,,,185,,,,,,,,,1.48
2020-08-19,19957,84467,10511,374,225043,4806,145253,4855,39930,,31,,,,,162,,,,,,,,,1.49
2020-08-20,19969,84642,10511,380,229814,4748,153941,5139,39930,,28,,,,,149,,,,,,,,,1.49
2020-08-21,19992,84829,10511,379,234400,4745,164960,5139,39930,,37,,,,,210,,,,,,,,,1.49
2020-08-22,20001,84950,10511,380,238002,4711,69478,2239,39930,,10,,,,,115,,,,,,,,,1.49
2020-08-23,20002,84973,10511,383,242899,4709,23587,1006,39930,,6,,,,,29,,,,,,,,,1.47
2020-08-24,20017,85199,10511,399,244854,4690,187272,6986,39930,,43,,,,,233,,,,,,,,,1.46
2020-08-25,20038,85524,10506,410,248158,4600,177747,6805,40043,,49,,,,,265,,,,,,,,,1.45
2020-08-26,20034,85731,10506,373,253587,4535,182111,6683,40043,,21,,,,,215,,,,,,,,,1.44
2020-08-27,20070,85984,10506,381,259698,4535,195191,7413,40043,,32,,,,,225,,,,,,,,,1.43
2020-08-28,20089,86177,10507,387,267077,4535,201767,7626,40083,,32,,,,,241,,,,,,,,,1.41
2020-08-29,20095,86298,10507,400,272530,4530,84913,3022,40083,,28,,,,,135,,,,,,,,,1.4
2020-08-30,20099,86310,10507,402,277943,4535,27789,1317,40083,,5,,,,,23,,,,,,,,,1.39
2020-08-31,20128,86469,10507,409,281025,4582,219651,9492,40083,,45,,,,,254,,,,,,,,,1.38
2020-09-01,20147,86712,10514,424,286007,4604,196240,8863,40300,,54,,,,,300,,,,,,,,,1.37
2020-09-02,20172,86963,10514,446,293024,4632,195228,9078,40300,,57,,,,,317,,,,,,,,,1.36
2020-09-03,20192,87206,10514,464,300181,4643,203171,9772,40300,,55,,,,,307,,,,,,,,,1.35
2020-09-04,20210,87447,10476,473,309156,4671,217657,10095,40300,,46,,,,,292,,,,,,,,,1.33
2020-09-05,20222,87579,10476,482,317706,4839,93234,4054,40300,,23,,,,,168,,,,,,,,,1.32
2020-09-06,20225,87608,10476,486,324777,4905,28433,1472,40300,,8,,,,,66,,,,,,,,,1.31
2020-09-07,20250,87836,10476,537,328980,4907,244326,12271,40300,,83,,,,,448,,,,,,,,,1.31
2020-09-08,20289,88226,10475,574,335524,4960,241337,11665,40876,,86,,,,,490,,,,,,,,,1.3
2020-09-09,20319,88524,10475,599,344101,5003,237372,11344,40876,,71,,,,,386,,,,,,,,,1.28
2020-09-10,20338,88742,10475,615,353944,5096,251278,12061,40876,,54,,,,,352,,,,,,,,,1.27
2020-09-11,20378,89059,10515,635,363350,5155,260567,11289,41389,,64,,,,,447,,,,,,,,,1.26
2020-09-12,20395,89231,10515,662,373911,5195,101950,4495,41389,,51,,,,,243,,,,,,,,,1.25
2020-09-13,20401,89270,10515,669,381094,5247,29110,1565,41389,,18,,,,,98,,,,,,,,,1.24
2020-09-14,20435,89507,10515,712,387252,5498,275465,14739,41389,,104,,,,,545,,,,,,,,,1.22
2020-09-15,20471,89891,10528,759,395104,5679,265927,13538,42047,,117,,,,,642,,,,,,,,,1.21
2020-09-16,20517,90335,10528,803,404888,5819,247219,13463,42047,,100,,,,,649,,,,,,,,,1.2
2020-09-17,20567,90840,10528,800,415481,5844,244191,13745,42047,,81,,,,,599,,,,,,,,,1.19
2020-09-18,20689,91574,10560,827,428696,5819,244488,13293,42699,,100,,,,,850,,,,,,,,,1.18
2020-09-19,20714,92319,10560,834,442194,5512,94882,5211,42699,,73,,,,,470,,,,,,,,,1.16
2020-09-20,20725,92582,10560,841,452763,5375,29788,1801,42699,,24,,,,,139,,,,,,,,,1.14
2020-09-21,20778,93008,10560,919,458061,5616,243102,15657,42699,,143,,,,,754,,,,,,,,,1.12
2020-09-22,20845,93538,10571,951,468069,5796,219180,14229,43555,,130,,,,,783,,,,,,,,,1.1
2020-09-23,20888,93982,10571,1002,481141,5932,202580,13015,43555,,124,,,,,649,,,,,,,,,1.08
2020-09-24,20940,94413,10571,1048,497237,6031,203465,12730,43555,,124,,,,,613,,,,,,,,,1.06
2020-09-25,20995,94891,10666,1098,513034,6128,209799,12291,44471,,129,,,,,661,,,,,,,,,1.04
2020-09-26,21034,95303,10666,1111,527446,6172,84877,4803,44471,,89,,,,,503,,,,,,,,,1.02
2020-09-27,21061,95426,10666,1118,538569,6253,23290,1384,44471,,47,,,,,241,,,,,,,,,1.01
2020-09-28,21142,95774,10666,1164,542639,6415,218706,13741,44471,,137,,,,,619,,,,,,,,,1
2020-09-29,21201,96327,10692,1204,550690,6500,195949,12797,45090,,165,,,,,698,,,,,,,,,1
2020-09-30,21264,96797,10692,1238,563535,6590,187880,13339,45090,,135,,,,,650,,,,,,,,,1.01
2020-10-01,21327,97271,10692,1265,577505,6652,191721,14641,45090,,142,,,,,626,,,,,,,,,1.03
2020-10-02,21374,97778,10781,1276,589653,6758,205949,16203,45701,,120,,,,,721,,,,,,,,,1.06
2020-10-03,21417,98230,10781,1295,606625,6758,89098,7225,45701,,103,,,,,532,,,,,,,,,1.1
2020-10-04,21449,98374,10781,1341,619190,6982,25052,1979,45701,,91,,,,,418,,,,,,,,,1.15
2020-10-05,21518,98680,10781,1415,624274,7294,235422,21448,45701,,152,,,,,710,,,,,,,,,1.19
2020-10-06,21580,99295,10785,1426,634763,7398,213509,19661,46520,,168,,,,,829,,,,,,,,,1.24
2020-10-07,21660,99793,10785,1416,653509,7536,209893,20727,46520,,143,,,,,789,,,,,,,,,1.28
2020-10-08,21736,100306,10785,1427,671638,7624,226346,22541,46520,,114,,,,,711,,,,,,,,,1.32
2020-10-09,21798,100828,10832,1448,691977,7864,253737,24077,47549,,150,,,,,848,,,,,,,,,1.35
2020-10-10,21852,101311,10832,1465,718873,7997,112247,11313,47549,,110,,,,,694,,,,,,,,,1.37
2020-10-11,21898,101491,10832,1492,734974,8252,31608,3222,47549,,73,,,,,503,,,,,,,,,1.38
2020-10-12,21993,101899,10832,1548,743479,8692,292227,31718,47549,,171,,,,,916,,,,,,,,,1.39
2020-10-13,22077,102680,10856,1642,756472,8949,269962,28594,48845,,226,,,,,1168,,,,,,,,,1.4
2020-10-14,22181,103413,10856,1673,779063,9194,273506,28807,48845,,193,,,,,1133,,,,,,,,,1.4
2020-10-15,22269,104082,10856,1750,809684,9605,294254,32029,48845,,219,,,,,1207,,,,,,,,,1.41
2020-10-16,22391,104696,10912,1800,834770,10042,314866,33618,48845,,212,,,,,1225,,,,,,,,,1.41
2020-10-17,22480,105194,10912,1877,867197,10420,137614,15291,48845,,175,,,,,986,,,,,,,,,1.42
2020-10-18,22565,105431,10912,1948,897034,10918,39252,4707,48845,,147,,,,,835,,,,,,,,,1.43
2020-10-19,22711,105935,10912,2099,910277,11661,346440,45286,48845,,269,,,,,1424,,,,,,,,,1.44
2020-10-20,22873,106839,11012,2177,930745,12458,313235,44358,53385,,278,,,,,1944,,,,,,,,,1.45
2020-10-21,23036,107652,11012,2248,957421,13185,321827,46768,53385,,284,,,,,1754,,,,,,,,,1.46
2020-10-22,23198,108599,11012,2319,999043,14032,347574,51140,53385,,262,,,,,1998,,,,,,,,,1.47
2020-10-23,23382,109486,11126,2441,1041075,15008,378474,55379,57261,,299,,,,,2091,,,,,,,,,1.47
