date,casConfirmes
2020-12-01,2230571
2020-12-02,2244635
2020-12-03,2257331
2020-12-04,2268552
2020-12-05,2281475
2020-12-06,2292497
2020-12-07,2295908
2020-12-08,2309621
2020-12-09,2324216
2020-12-10,2337966
2020-12-11,2351372
2020-12-12,2365319
2020-12-13,2376852
2020-12-14,2379915
2020-12-15,2391447
2020-12-16,2409062
2020-12-17,2427316
2020-12-18,2442990
2020-12-19,2460555
2020-12-20,2473354
2020-12-21,2479151
2020-12-22,2490946
2020-12-23,2505875
2020-12-24,2527509
2020-12-25,2547771
2020-12-26,2550864
2020-12-27,2559686
2020-12-28,2562646
2020-12-29,2574041
2020-12-30,2600498
2020-12-31,2620425
2021-01-01,2639773
2021-01-02,2643239
2021-01-03,2655728
2021-01-04,2659750
2021-01-05,2680239
2021-01-06,2705618
2021-01-07,2727321
2021-01-08,2747135
2021-01-09,2767312
2021-01-10,2783256
2021-01-11,2786838
2021-01-12,2806590
2021-01-13,2830442
2021-01-14,2851670
2021-01-15,2872941
2021-01-16,2894347
2021-01-17,2910989
2021-01-18,2914725
2021-01-19,2938333
2021-01-20,2965117
2021-01-21,2987965
2021-01-22,3011257
2021-01-23,3035181
2021-01-24,3053617
2021-01-25,3057857
2021-01-26,3079943
2021-01-27,3106859
2021-01-28,3130629
2021-01-29,3153487
2021-01-30,3177879
2021-01-31,3197114
2021-02-01,3201461
2021-02-02,3224798
2021-02-03,3251160
2021-02-04,3274608
2021-02-05,3296747
2021-02-06,3317333
2021-02-07,3337048
2021-02-08,3341365
2021-02-09,3360235
2021-02-10,3385622
2021-02-11,3406685
2021-02-12,3427386
2021-02-13,3448617
2021-02-14,3465163
2021-02-15,3469539
2021-02-16,3489129
2021-02-17,3514147
2021-02-18,3536648
2021-02-19,3560764
2021-02-20,3583135
2021-02-21,3605181
2021-02-22,3609827
2021-02-23,3629891
2021-02-24,3661410
2021-02-25,3686813
2021-02-26,3712020
2021-02-27,3736016
2021-02-28,3755968
2021-03-01,3760671
2021-03-02,3783528
2021-03-03,3810316
2021-03-04,3835595
2021-03-05,3859102
2021-03-06,3882408
2021-03-07,3904233
2021-03-08,3909560
2021-03-09,3932862
2021-03-10,3963165
2021-03-11,3990331
2021-03-12,4015560
2021-03-13,4045319
2021-03-14,4071662
2021-03-15,4078133
2021-03-16,4108108
2021-03-17,4146609
2021-03-18,4181607
2021-03-19,4216695
2021-03-20,4252022
2021-03-21,4282603
2021-03-22,4298395
2021-03-23,4313073
2021-03-24,4378446
2021-03-25,4424087
2021-03-26,4465956
2021-03-27,4508575
2021-03-28,4545589
2021-03-29,4554683
2021-03-30,4585385
2021-03-31,4644423
2021-04-01,4695082
2021-04-02,4741759
2021-04-03,4755676
2021-04-04,4822470
2021-04-05,4833263
2021-04-06,4841308
2021-04-07,4854259
2021-04-08,4939258
2021-04-09,4980501
2021-04-10,5023785
2021-04-11,5058680
2021-04-12,5067216
