date,S,V,I,R,r0,nouveau_tx_vaccination
2021-03-14,57691480,5236858,236067,3835595,1.16,0.0010594805333473852
2021-03-15,57532234,5389633,219031,3859102,1.17,0.0026554678895312845
2021-03-16,57365364,5526528,225700,3882408,1.18,0.0023863702843409133
2021-03-17,57182174,5671217,242376,3904233,1.19,0.0025303165283642416
2021-03-18,56985570,5832823,272047,3909560,1.19,0.0028359109156932184
2021-03-19,56728364,6054941,283833,3932862,1.19,0.003915466344137829
2021-03-20,56531171,6216807,288857,3963165,1.19,0.0028633052727671253
2021-03-21,56452504,6264893,292272,3990331,1.19,8.517956971403784E-4
2021-03-22,56272777,6428828,282835,4015560,1.19,0.002913220365861809
2021-03-23,56016060,6670867,267754,4045319,1.19,0.004320885831670417
2021-03-24,55700963,6920591,306784,4071662,1.19,0.004483297712465043
2021-03-25,55324713,7251200,345954,4078133,1.19,0.0059757924094427746
2021-03-26,54934293,7599751,357848,4108108,1.19,0.006344870953376974
2021-03-27,54701548,7789877,361966,4146609,1.18,0.0034756968852142907
2021-03-28,54607232,7847179,363982,4181607,1.18,0.0010493481888992286
2021-03-29,54404067,8041250,337988,4216695,1.18,0.003567214928986835
2021-03-30,54101577,8313038,333363,4252022,1.18,0.005023661325066366
2021-03-31,53794698,8560879,361820,4282603,1.18,0.004607164074050569
2021-04-01,53450943,8853975,396687,4298395,1.18,0.00548345798127453
2021-04-02,53140347,9117894,428686,4313073,1.18,0.004966452326703851
2021-04-03,52991254,9253070,377230,4378446,1.18,0.0025509115145680456
2021-04-04,52881399,9296131,398383,4424087,1.18,8.142938881023174E-4
2021-04-05,52870606,9296131,367307,4465956,1.18,8.144601179717895E-4
