date,nouveaux_deces,nouveaux_gueris,nouveaux_decesEhpad,total_reanimation,nouveaux_casConfirmes,total_hospitalises,nouveaux_testsRealises,nouveaux_testsPositifs,nouveaux_casConfirmesEhpad,nouvellesReanimations,nouvellesHospitalisations,nouvellesPremieresInjections,nouveau_r0
2021-03-06,170,990,0,3689,23306,24625,218678,15682,,233,1097,201702,1.03
2021-03-07,130,386,0,3743,21825,24818,47324,3602,,187,720,118570,1.04
2021-03-08,359,801,0,3849,5327,25195,438453,34329,,381,1584,103408,1.05
2021-03-09,298,1443,70,3918,23302,25201,379591,27920,,421,1810,167684,1.07
2021-03-10,264,1480,67,3918,30303,24969,357843,28217,,343,1574,173492,1.09
2021-03-11,265,1414,0,3992,27166,24858,437565,31028,,385,1609,236412,1.11
2021-03-12,223,1245,0,4033,25229,24749,492210,32313,,306,1448,287396,1.13
2021-03-13,169,937,0,4070,29759,24671,263470,20990,,263,1087,225356,1.15
2021-03-14,140,345,0,4127,26343,24989,58376,5039,,188,821,61589,1.16
2021-03-15,333,811,0,4219,6471,25469,516106,44835,,401,1676,153427,1.17
2021-03-16,314,1589,94,4239,29975,25492,463884,35364,,435,2005,137403,1.18
2021-03-17,241,1633,0,4219,38501,25314,410717,32797,,357,1745,145293,1.18
2021-03-18,268,1270,0,4246,34998,25389,490533,34429,,382,1661,162337,1.19
2021-03-19,285,1383,0,4287,35088,25339,553776,36721,,383,1699,222863,1.19
2021-03-20,176,925,0,4353,35327,25537,287144,22916,,317,1348,162525,1.19
2021-03-21,138,384,0,4406,30581,25926,60807,5493,,196,926,48247,1.19
2021-03-22,343,930,0,4548,15792,26488,593228,52848,,471,1902,164778,1.19
2021-03-23,287,1622,0,4634,14678,26756,545824,43318,,488,2286,243351,1.19
2021-03-24,245,1692,0,4651,65373,26876,492157,41954,,384,2130,250288,1.19
2021-03-25,225,1408,0,4709,45641,27036,578299,43019,,408,1860,331871,1.19
2021-03-26,303,1455,594,4766,41869,27242,645685,45222,,476,2048,349890,1.19
2021-03-27,190,1288,0,4791,42619,27259,351876,27901,,332,1567,190689,1.19
2021-03-28,131,402,0,4872,37014,27712,64013,5622,,238,1017,57328,1.18
2021-03-29,360,1058,0,4974,9094,28322,696105,59450,,484,2099,196887,1.17
2021-03-30,336,1986,45,5072,30702,28510,663410,49268,,569,2579,276094,1.16
2021-03-31,303,1842,0,5053,59038,28463,580305,44940,,472,2209,253063,1.15
2021-04-01,308,1528,0,5109,50659,28581,667749,44575,,480,2035,299197,1.13
2021-04-02,300,1568,32,5254,46677,28729,678326,44025,,505,2092,271175,1.11
2021-04-03,185,1341,0,5273,13917,28886,408636,27357,,399,1730,136928,1.08
2021-04-04,185,549,0,5341,66794,29356,66310,5415,,270,1224,44219,1.08
2021-04-05,197,440,0,5433,10793,29907,103727,9383,,284,1219,57915,1.08
2021-04-06,409,1235,17,5626,8045,30639,640138,60384,,632,2459,200354,1.08
2021-04-07,421,2340,0,5729,12951,30904,485174,44422,,673,3131,246326,1.08
2021-04-08,343,2072,0,5705,84999,30555,473322,41427,,498,2156,317875,1.08
2021-04-09,299,1963,31,5757,41243,30326,509201,41553,,498,2120,384867,1.08
2021-04-10,207,1462,0,5769,43284,30238,,,,388,1649,205246,1.08
2021-04-11,176,651,0,5838,34895,30671,,,,286,1305,53450,1.08
2021-04-12,385,1147,0,5916,8536,31262,,,,492,2172,53450,1.08
